DEBUG 2025-01-27 13:16:01,365 autoreload File C:\Python313\Lib\zipfile\__init__.py first seen with mtime 1733239650.0
DEBUG 2025-01-27 13:16:01,365 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\core\files\storage\handler.py first seen with mtime 1737714127.8710363
DEBUG 2025-01-27 13:16:01,365 autoreload File C:\Python313\Lib\_weakrefset.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,365 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\asgiref\local.py first seen with mtime 1737714125.498999
DEBUG 2025-01-27 13:16:01,365 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\vine\synchronization.py first seen with mtime 1737714111.9440053
DEBUG 2025-01-27 13:16:01,365 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\charset_normalizer\legacy.py first seen with mtime 1737714124.4566348
DEBUG 2025-01-27 13:16:01,365 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1737714127.9981647
DEBUG 2025-01-27 13:16:01,365 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\rest_framework\utils\formatting.py first seen with mtime 1737714165.4720914
DEBUG 2025-01-27 13:16:01,365 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\template\library.py first seen with mtime 1737714127.9846544
DEBUG 2025-01-27 13:16:01,365 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\core\mail\__init__.py first seen with mtime 1737714127.873038
DEBUG 2025-01-27 13:16:01,365 autoreload File C:\Python313\Lib\ctypes\__init__.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,366 autoreload File C:\Python313\Lib\importlib\resources\_functional.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,366 autoreload File C:\Python313\Lib\string.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,366 autoreload File C:\Python313\Lib\concurrent\futures\_base.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,366 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\cffi\__init__.py first seen with mtime 1737715215.977781
DEBUG 2025-01-27 13:16:01,366 autoreload File C:\Python313\Lib\http\server.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,366 autoreload File C:\Python313\Lib\urllib\response.py first seen with mtime 1733239650.0
DEBUG 2025-01-27 13:16:01,366 autoreload File C:\Python313\Lib\re\__init__.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,366 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django_celery_beat\__init__.py first seen with mtime 1737714175.5692165
